trip_uuid,od_start_time,od_end_time,segment_count,actual_time,osrm_time,actual_distance,osrm_distance,start_scan_to_end_scan,route_type,source_center,source_name,destination_center,destination_name,cutoff_initial_status,cutoff_final_status,time_delay,data,trip_creation_time,route_schedule_uuid,delay_category,distance_gap,distance_ratio,trip_segment_count,distance_band
trip-153671127071609610,54:13.8,45:11.2,4,172,36,35.08317945,39.1058,470,Carting,IND585314AAA,Aland_RazaviRd_D (Karnataka),IND585104AAA,Gulbarga_Nehrugnj_I (Karnataka),1,0,136,training,14:30.7,thanos::sroute:13c4e60a-d850-4737-9bac-0cc4a4002b2d,Severe Delay,-4.022620549999999,0.8971349377841651,22,25–50 km
trip-153671128962918389,11:15.2,51:49.8,2,23,9,10.21497675,11.5589,40,Carting,IND302020AAA,Jaipur_VarunCly_DC (Rajasthan),IND302014AAB,Jaipur_Central_I_7 (Rajasthan),1,0,14,training,14:49.6,thanos::sroute:b62ab3ed-c60b-47d2-8c91-fe62135912dc,On Time,-1.3439232499999996,0.8837325999878881,4,0–25 km
trip-153671128962918389,14:49.6,05:25.4,2,86,18,14.20270673,18.9291,110,Carting,IND302014AAB,Jaipur_Central_I_7 (Rajasthan),IND302026AAA,Jaipur_Bhankrot_DC (Rajasthan),1,0,68,training,14:49.6,thanos::sroute:b62ab3ed-c60b-47d2-8c91-fe62135912dc,High Delay,-4.726393269999999,0.7503107242288328,4,0–25 km
trip-153671143043841452,17:10.4,51:47.4,6,289,132,129.7499959,184.6407,514,FTL,IND211002AAB,Allahabad_Central_H_1 (Uttar Pradesh),IND485001AAC,Satna_Central_I_2 (Madhya Pradesh),1,0,157,training,17:10.4,thanos::sroute:93b4aac4-c6e3-4b26-9db0-246d5e6206ef,Severe Delay,-54.89070410000002,0.7027161178440072,6,100–200 km
trip-153671173668736946,22:16.7,29:19.3,2,44,21,12.75676805,18.7668,67,Carting,IND110043AAA,Delhi_Nangli_IP (Delhi),IND110078AAA,Janakpuri (Delhi),1,0,23,training,22:16.7,thanos::sroute:7734a02c-9376-4767-a1b5-15897a713b3f,On Time,-6.01003195,0.6797519049598226,2,0–25 km
trip-153671174968648046,53:13.5,11:57.6,2,110,18,9.941524747,19.4925,138,Carting,IND781005AAA,Guwahati_North (Assam),IND781018AAB,Guwahati_Hub (Assam),1,0,92,training,22:29.7,thanos::sroute:83cc6bc3-6aea-456b-879b-e99a90380aec,High Delay,-9.550975253,0.510017942644607,2,0–25 km
trip-153671186247781647,24:22.5,37:31.9,5,160,35,37.07151283,46.6075,193,Carting,IND209304AAA,Kanpur_Central_H_6 (Uttar Pradesh),IND209801AAA,Unnao_VikasRam_D (Uttar Pradesh),1,0,125,training,24:22.5,thanos::sroute:ba05c968-4aad-49ce-bf38-21469494acc4,Severe Delay,-9.53598717,0.7953980116933971,10,25–50 km
trip-153671186247781647,37:31.9,10:51.3,5,685,33,37.49167354,47.0734,873,Carting,IND209801AAA,Unnao_VikasRam_D (Uttar Pradesh),IND209304AAA,Kanpur_Central_H_6 (Uttar Pradesh),1,0,652,training,24:22.5,thanos::sroute:ba05c968-4aad-49ce-bf38-21469494acc4,Severe Delay,-9.58172646,0.7964513619156467,10,25–50 km
trip-153671191949943656,33:09.7,59:13.1,2,78,42,42.63033296,48.4129,86,FTL,IND487001AAB,Narsinghpur_KndliDPP_D (Madhya Pradesh),IND487551AAA,Gadarwara_MPward_D (Madhya Pradesh),1,0,36,training,25:19.5,thanos::sroute:0ac760f3-96cb-4046-bfd0-8bc467805780,Moderate Delay,-5.782567040000004,0.8805573093121873,5,25–50 km
trip-153671191949943656,59:13.1,23:49.5,3,175,67,57.34526177,81.9341,204,FTL,IND487551AAA,Gadarwara_MPward_D (Madhya Pradesh),IND464668AAA,Bareli_SourvDPP_D (Madhya Pradesh),1,0,108,training,25:19.5,thanos::sroute:0ac760f3-96cb-4046-bfd0-8bc467805780,High Delay,-24.58883823,0.6998949371507102,5,50–100 km
trip-153671202698783427,27:07.0,04:22.4,2,24,15,10.60486328,15.8319,97,Carting,IND395023AAD,Surat_Central_I_4 (Gujarat),IND395006AAA,Surat_Varachha_DC (Gujarat),1,0,9,training,27:07.0,thanos::sroute:6f0bd656-6353-4cc9-b826-439edc9ca0b6,On Time,-5.227036719999999,0.6698414770179195,3,0–25 km
trip-153671202698783427,37:19.8,37:46.4,1,146,14,9.612755209,14.7138,180,Carting,IND395001AAA,Surat_Central_D_9 (Gujarat),IND395023AAD,Surat_Central_I_4 (Gujarat),0,0,132,training,27:07.0,thanos::sroute:6f0bd656-6353-4cc9-b826-439edc9ca0b6,Severe Delay,-5.101044791000001,0.653315609088067,3,0–25 km
trip-153671224643574839,03:45.8,13:38.6,5,54,30,36.54135841,38.7871,69,Carting,IND422103AAC,Sinnar_Central_D_1 (Maharashtra),IND422605AAA,Sangamner_JawanChk_D (Maharashtra),1,0,24,training,30:46.4,thanos::sroute:36941a6b-0e90-4582-a95a-96666dcd6d83,On Time,-2.245741590000001,0.942100812125681,33,25–50 km
trip-153671224643574839,13:38.6,54:11.6,6,77,45,46.38738002,49.6014,100,Carting,IND422605AAA,Sangamner_JawanChk_D (Maharashtra),IND413709AAA,Shrirampur_DavkharRd_D (Maharashtra),1,0,32,training,30:46.4,thanos::sroute:36941a6b-0e90-4582-a95a-96666dcd6d83,Moderate Delay,-3.214019979999996,0.9352030390271244,33,25–50 km
trip-153671224643574839,15:00.0,18:36.6,2,54,10,12.91788934,13.4946,63,Carting,IND423109AAA,Shirdi_SaiBansi_D (Maharashtra),IND423601AAA,Kopargaon_NkshtrPz_D (Maharashtra),1,0,44,training,30:46.4,thanos::sroute:36941a6b-0e90-4582-a95a-96666dcd6d83,Moderate Delay,-0.5767106599999998,0.9572635972907682,33,0–25 km
trip-153671224643574839,18:36.6,27:59.7,3,46,26,24.17411226,34.3364,69,Carting,IND423601AAA,Kopargaon_NkshtrPz_D (Maharashtra),IND423701AAB,Vaijiapur_YeolaRD_D (Maharashtra),1,0,20,training,30:46.4,thanos::sroute:36941a6b-0e90-4582-a95a-96666dcd6d83,On Time,-10.162287739999996,0.7040374721869503,33,0–25 km
trip-153671224643574839,27:59.7,21:24.5,11,158,88,95.86770415,118.2709,173,Carting,IND423701AAB,Vaijiapur_YeolaRD_D (Maharashtra),IND422011AAD,Nashik_TgrniaRD_I (Maharashtra),1,0,70,training,30:46.4,thanos::sroute:36941a6b-0e90-4582-a95a-96666dcd6d83,High Delay,-22.403195850000003,0.8105772776735444,33,50–100 km
trip-153671224643574839,30:46.4,03:45.8,3,87,34,21.27895941,37.4057,92,Carting,IND422011AAD,Nashik_TgrniaRD_I (Maharashtra),IND422103AAC,Sinnar_Central_D_1 (Maharashtra),1,0,53,training,30:46.4,thanos::sroute:36941a6b-0e90-4582-a95a-96666dcd6d83,Moderate Delay,-16.126740590000004,0.5688694346048864,33,0–25 km
trip-153671224643574839,54:11.6,15:00.0,3,56,27,24.05326993,29.4937,80,Carting,IND413709AAA,Shrirampur_DavkharRd_D (Maharashtra),IND423109AAA,Shirdi_SaiBansi_D (Maharashtra),1,0,29,training,30:46.4,thanos::sroute:36941a6b-0e90-4582-a95a-96666dcd6d83,On Time,-5.4404300700000015,0.8155392483818578,33,0–25 km
trip-153671225291120891,09:08.5,05:06.9,4,138,30,27.73121213,32.0179,175,Carting,IND712103AAA,Hoogly_Bandel_D (West Bengal),IND712310AAE,Kolkata_North_I_4 (West Bengal),1,0,108,training,30:52.9,thanos::sroute:b631d6e1-0a67-4c80-8970-b9fda0461450,High Delay,-4.286687869999998,0.866115895483464,7,25–50 km
trip-153671225291120891,16:17.7,09:08.5,1,32,10,10.49811856,11.0795,52,Carting,IND712124AAA,Hooghly_DC (West Bengal),IND712103AAA,Hoogly_Bandel_D (West Bengal),0,0,22,training,30:52.9,thanos::sroute:b631d6e1-0a67-4c80-8970-b9fda0461450,On Time,-0.5813814399999995,0.94752638295952,7,0–25 km
trip-153671225291120891,30:52.9,16:17.7,2,52,18,14.6896789,19.0096,105,Carting,IND712310AAE,Kolkata_North_I_4 (West Bengal),IND712124AAA,Hooghly_DC (West Bengal),1,0,34,training,30:52.9,thanos::sroute:b631d6e1-0a67-4c80-8970-b9fda0461450,Moderate Delay,-4.319921099999998,0.7727505523524957,7,0–25 km
trip-153671236229420701,17:37.8,07:33.6,7,109,65,56.65237638,66.2031,109,Carting,IND561202AAB,Pavagada_PnukndRD_D (Karnataka),IND515134AAA,Puttaprthi_Gokulam_D (Andhra Pradesh),1,0,44,training,32:42.3,thanos::sroute:3f001d56-e933-4ba1-a7cf-26828f7208c9,Moderate Delay,-9.550723620000008,0.855736006017845,9,50–100 km
trip-153671236229420701,39:46.7,17:37.8,2,28,17,16.45798972,17.391,37,Carting,IND515301AAA,Madakasira_RTCStand_D (Andhra Pradesh),IND561202AAB,Pavagada_PnukndRD_D (Karnataka),1,0,11,training,32:42.3,thanos::sroute:3f001d56-e933-4ba1-a7cf-26828f7208c9,On Time,-0.9330102799999976,0.946350970041976,9,0–25 km
trip-153671237597058150,48:42.5,00:47.1,5,241,33,39.49595428,46.9087,252,Carting,IND785690AAB,Sonari_Central_DPP_1 (Assam),IND785682AAA,Sivasagar_Babupaty_D (Assam),1,0,208,training,32:56.0,thanos::sroute:db0f8027-8ade-4411-9aff-b26adaae3993,Severe Delay,-7.412745720000004,0.8419750340555163,5,25–50 km
trip-153671240266732246,33:22.7,57:48.0,5,194,57,42.24030468,53.1902,264,Carting,IND560300AAA,Bengaluru_KGAirprt_HB (Karnataka),IND560099AAB,Bengaluru_Bomsndra_HB (Karnataka),1,0,137,training,33:22.7,thanos::sroute:09b4c49e-0e89-40b6-99b3-e671400fe5ef,Severe Delay,-10.949895319999996,0.7941369778643435,5,25–50 km
trip-153671256526597871,36:05.3,39:52.1,4,162,53,28.70624007,43.5805,243,Carting,IND560300AAA,Bengaluru_KGAirprt_HB (Karnataka),IND562132AAA,Bangalore_Nelmngla_H (Karnataka),1,0,109,training,36:05.3,thanos::sroute:500aa87c-3d54-4159-a296-0b93c15a1900,High Delay,-14.87425993,0.6586946012551484,4,25–50 km
trip-153671262893947351,05:34.8,35:54.0,1,165,14,9.499885115,14.4597,210,Carting,IND501401AAC,Medchal_MROoffce_D (Telangana),IND500010AAA,Hyderabad_Alwal_I (Telangana),0,0,151,training,37:08.9,thanos::sroute:beb73e7f-71ff-4501-bc17-191b4f312005,Severe Delay,-4.959814885,0.6569904711024434,3,0–25 km
trip-153671262893947351,05:52.6,05:34.8,2,30,12,14.85920056,16.0049,59,Carting,IND500055AAC,Hyderabad_North_D_2 (Telangana),IND501401AAC,Medchal_MROoffce_D (Telangana),1,0,18,training,37:08.9,thanos::sroute:beb73e7f-71ff-4501-bc17-191b4f312005,On Time,-1.1456994399999996,0.92841570768952,3,0–25 km
trip-153671277074687197,32:05.6,52:44.6,2,39,27,26.51674659,28.2786,80,FTL,IND624619AAA,Oddnchtram_Palani_D (Tamil Nadu),IND624601AAA,Palani_RjndraRd_D (Tamil Nadu),1,0,12,training,39:30.7,thanos::sroute:42969f47-47af-4473-9f2c-cf747fe82077,On Time,-1.7618534100000005,0.9376965829284336,10,25–50 km
trip-153671277074687197,39:30.7,32:05.6,2,40,26,26.53493769,27.8573,52,FTL,IND624001AAA,Dindigul_Central_D_1 (Tamil Nadu),IND624619AAA,Oddnchtram_Palani_D (Tamil Nadu),1,0,14,training,39:30.7,thanos::sroute:42969f47-47af-4473-9f2c-cf747fe82077,On Time,-1.322362309999999,0.9525308515182735,10,25–50 km
trip-153671277074687197,45:07.3,32:54.4,2,35,23,22.91314776,26.0605,47,FTL,IND624202AAA,Batlagundu_RTOofice_D (Tamil Nadu),IND625218AAA,Vadipatti_lalaNGR_D (Tamil Nadu),1,0,12,training,39:30.7,thanos::sroute:42969f47-47af-4473-9f2c-cf747fe82077,On Time,-3.14735224,0.879229015559947,10,0–25 km
trip-153671277074687197,51:38.6,45:07.3,2,87,119,29.66560286,55.1577,113,FTL,IND624101AAA,Kodaikanal_Athithnr_DC (Tamil Nadu),IND624202AAA,Batlagundu_RTOofice_D (Tamil Nadu),1,0,-32,training,39:30.7,thanos::sroute:42969f47-47af-4473-9f2c-cf747fe82077,Early,-25.49209714,0.5378324850383537,10,25–50 km
trip-153671277074687197,52:44.6,51:38.6,2,100,134,23.52784396,60.2645,118,FTL,IND624601AAA,Palani_RjndraRd_D (Tamil Nadu),IND624101AAA,Kodaikanal_Athithnr_DC (Tamil Nadu),1,0,-34,training,39:30.7,thanos::sroute:42969f47-47af-4473-9f2c-cf747fe82077,Early,-36.73665604,0.3904096766753229,10,0–25 km
trip-153671279791474803,06:55.6,59:42.4,1,33,17,19.62460785,21.7661,52,FTL,IND144601AAA,Kapurthala_DC (Punjab),IND144001AAA,Jalandhar_DC (Punjab),0,0,16,training,39:57.9,thanos::sroute:16abf49b-3f11-48e2-962c-07fcc0130448,On Time,-2.1414921500000013,0.9016134194917784,6,0–25 km
trip-153671279791474803,24:55.4,07:33.4,2,39,19,23.3012419,26.3859,42,FTL,IND144040AAA,Nakodar_ChowkDPP_D (Punjab),IND144001AAB,Jalandhar_DPC (Punjab),1,0,20,training,39:57.9,thanos::sroute:16abf49b-3f11-48e2-962c-07fcc0130448,On Time,-3.084658099999998,0.8830944519610854,6,0–25 km
trip-153671279791474803,39:57.9,06:55.6,1,54,16,18.68167542,19.5231,86,FTL,IND144001AAB,Jalandhar_DPC (Punjab),IND144601AAA,Kapurthala_DC (Punjab),0,0,38,training,39:57.9,thanos::sroute:16abf49b-3f11-48e2-962c-07fcc0130448,Moderate Delay,-0.8414245799999982,0.956901077185488,6,0–25 km
trip-153671279791474803,59:42.4,24:55.4,2,35,20,22.6198447,26.5091,85,FTL,IND144001AAA,Jalandhar_DC (Punjab),IND144040AAA,Nakodar_ChowkDPP_D (Punjab),1,0,15,training,39:57.9,thanos::sroute:16abf49b-3f11-48e2-962c-07fcc0130448,On Time,-3.8892553,0.8532860300802366,6,0–25 km
trip-153671287611744830,41:16.1,41:40.4,6,134,64,47.41131039,75.1509,180,Carting,IND121002AAB,Faridabad_Mthurard_L (Haryana),IND000000ACB,Gurgaon_Bilaspur_HB (Haryana),1,0,70,training,41:16.1,thanos::sroute:074b1ab2-c84c-42a1-a662-098ded0b3e97,High Delay,-27.73958961,0.6308814716789819,6,25–50 km
trip-153671289374432394,41:33.7,45:34.2,5,80,46,42.72946241,56.4349,124,Carting,IND160002AAC,Chandigarh_Mehmdpur_H (Punjab),IND140901AAA,Chandigarh_Mullanpr_DC (Chandigarh),1,0,34,training,41:33.7,thanos::sroute:f7b54136-5ef6-4109-9611-0fa63d90b256,Moderate Delay,-13.705437590000004,0.7571460640490193,11,25–50 km
trip-153671289374432394,45:34.2,47:41.6,2,28,15,12.10569978,14.6876,62,Carting,IND140901AAA,Chandigarh_Mullanpr_DC (Chandigarh),IND160055AAA,Chandigarh_Mohali (Chandigarh),1,0,13,training,41:33.7,thanos::sroute:f7b54136-5ef6-4109-9611-0fa63d90b256,On Time,-2.58190022,0.8242122457038591,11,0–25 km
trip-153671289374432394,47:41.6,22:54.5,4,65,41,31.00671965,33.8798,95,Carting,IND160055AAA,Chandigarh_Mohali (Chandigarh),IND160002AAC,Chandigarh_Mehmdpur_H (Punjab),1,0,24,training,41:33.7,thanos::sroute:f7b54136-5ef6-4109-9611-0fa63d90b256,On Time,-2.873080350000002,0.9151978361737672,11,25–50 km
trip-153671292681185799,42:06.8,57:08.8,2,48,18,13.47924974,21.288,75,Carting,IND400072AAB,Mumbai Hub (Maharashtra),IND000000AFT,Mumbai_Sanpada_I (Maharashtra),1,0,30,training,42:06.8,thanos::sroute:2ea2c90c-b2a5-44f8-b56d-97ac0001de5f,On Time,-7.80875026,0.6331853504321684,2,0–25 km
trip-153671306463580546,11:57.2,51:46.8,3,84,38,46.45668173,52.0204,99,FTL,IND442101AAB,Deoli_Central_DPP_2 (Maharashtra),IND445001AAB,Yavatmal_JajuDPP_D (Maharashtra),1,0,46,training,44:24.6,thanos::sroute:146160f7-402b-4c25-94b8-83ab48bc6389,Moderate Delay,-5.5637182700000025,0.8930473762216361,3,25–50 km
trip-153671307622926083,29:08.9,47:19.4,6,72,53,48.00625969,57.2303,78,Carting,IND413304AAA,Pandharpur_RajCmplx_D (Maharashtra),IND415301AAB,Atapadi_Vidyangr_D (Maharashtra),1,0,19,training,44:36.2,thanos::sroute:2b217b8b-1ceb-45f8-a03a-08952fc17210,On Time,-9.22404031,0.8388259311937907,9,25–50 km
trip-153671307622926083,47:19.4,35:42.7,3,68,35,26.85623716,35.2121,108,Carting,IND415301AAB,Atapadi_Vidyangr_D (Maharashtra),IND413307AAB,Sangola_Central_DPP_2 (Maharashtra),1,0,33,training,44:36.2,thanos::sroute:2b217b8b-1ceb-45f8-a03a-08952fc17210,Moderate Delay,-8.35586284,0.7626991051371546,9,25–50 km
